x,y,z
606803.417052,4063838.29951,-62.7940349395
606873.686893,4063932.1695,-62.848913617
606918.011052,4063985.45635,-62.8616790879
606985.148272,4064058.28145,-62.8519190875
607029.767896,4064134.86504,-62.9595141803
607052.445261,4064170.27966,-63.0261106297
607081.157579,4064494.0947,-64.1796849404
607054.141029,4064197.65945,-63.1055935844
607159.608689,4064577.26531,-64.2053688371
607333.098507,4064846.55201,-64.5505035844
607213.800255,4064646.49997,-64.1244974643
607379.984681,4064972.17687,-64.560158506
607585.148272,4065115.26519,-63.5997070751
609159.011846,4064053.02854,-52.5208615789
609085.148272,4064062.38703,-53.7337949867
609046.012484,4064108.15547,-54.1518819278
607589.34491,4065116.05854,-63.5800839477
607590.166538,4065116.45688,-63.574198983
609007.278597,4064170.27966,-54.7480145064
609012.551573,4064227.8997,-54.3083956749
609085.148272,4064281.7676,-52.5001387553
609144.806018,4064361.03943,-50.9247178832
609385.148272,4063884.96505,-49.3747000591
609385.148272,4064394.85229,-45.5832332193
607835.4531,4065201.60646,-62.1012195893
607603.085896,4065122.72029,-63.4816632365
607591.246389,4065116.9804,-63.5664644809
607967.093351,4065252.79999,-61.264498089
608001.067611,4065268.82521,-61.0249032908
608185.148272,4065350.94801,-59.700677963
608477.336895,4065367.03034,-56.0124596318
608785.148272,4065397.36404,-53.4629935119
608906.711495,4065405.97102,-51.8581573127
609142.714144,4065315.14039,-49.1088920743
609196.361257,4065299.2599,-48.5566721073
609385.148272,4065302.62156,-46.6089716553
609638.745941,4064170.27966,-44.6601685743
609821.766684,4065122.72029,-42.8504277166
609985.148272,4065014.20265,-41.6660201638
610139.952874,4064876.9833,-41.0634119549
610317.751842,4064698.25492,-40.3493800286
610365.657291,4064646.49997,-40.1532609975
610406.647446,4064575.66187,-40.0889653618
610434.37332,4064526.82982,-40.0346621857
610585.148272,4064395.16435,-39.6563940348
609618.2813,4065228.86499,-44.3797555243
609718.41755,4065175.53198,-43.5963559752
611465.960132,4062756.84835,-43.0747355724
611450.804602,4062979.72887,-42.0430956425
611185.148272,4063725.38923,-39.8912591819
610715.922604,4064170.27966,-39.8518623842
611454.87607,4062991.95494,-42.0379793809
611457.9828,4063001.28402,-42.0340754229
611457.984406,4063001.28885,-42.0340734047
611202.119162,4063697.82492,-39.9333046893
611485.148272,4063213.51157,-41.4887907861
611204.437568,4063694.05934,-39.9390485596
611485.375641,4063218.33803,-41.4756873229
611485.502006,4063217.55827,-41.4783227891
611485.417726,4063218.26676,-41.4759175191
611485.445971,4063218.10462,-41.4764886611
611485.49224,4063217.83903,-41.4774242558
