x,y,z
610050.658712,4056074.53429,-17.0544095715
610585.148272,4055528.88675,-10.5673419409
610748.469902,4055381.35059,-8.9765360739
611784.943456,4055122.41879,-5.95960798158
609385.148272,4059247.88274,-41.2655656225
609445.613892,4059169.96635,-41.8503261617
611785.148272,4055122.33162,-5.95890875055
611785.445614,4055122.32966,-5.95976831829
612385.148272,4055219.23887,-8.14445125136
612678.122065,4055365.78053,-10.8516116599
612985.148272,4055543.77959,-12.9685856531
612631.302513,4059136.04501,-67.6391110766
612491.814578,4059323.4154,-66.5350871664
612432.134991,4059396.01609,-65.8920657053
612900.670894,4058931.85619,-70.6240851148
612985.148272,4058882.90286,-71.572403497
613017.572432,4055572.57891,-13.4186299755
613031.104206,4055598.31398,-13.6124767466
613396.343273,4055898.02323,-20.0359949646
613516.193983,4056074.53429,-22.9319103134
613545.295326,4056106.1656,-23.6649836027
613585.148272,4056124.16691,-24.6486477332
613687.520653,4056231.39144,-27.8408736485
613753.204924,4056312.64445,-30.300368863
613797.739758,4056382.02064,-32.1429692301
613885.148272,4056538.79737,-36.600848927
613895.265643,4056550.75461,-37.1048606269
614019.527717,4056813.66085,-46.6142382108
613891.424629,4056545.77306,-36.8951377167
614145.567749,4057026.97493,-55.5512837937
613369.615507,4058615.52202,-75.8539113271
613406.241369,4058590.05026,-76.2617846201
614185.148272,4057223.57779,-62.0748868664
614213.115887,4057625.58081,-74.2924452393
614258.014271,4057503.19524,-72.1928311331
614243.337077,4057457.01076,-70.4070548514
605527.546539,4059720.63724,-57.0361983808
605549.917951,4059699.80507,-56.7973939805
605560.02508,4059690.39335,-56.6895050761
605540.140858,4059708.90946,-56.9017598903
605534.097679,4059714.53684,-56.9662680185
605785.148272,4059480.75955,-54.2864198115
606233.842323,4059528.16812,-52.1402411049
606488.121722,4059605.32162,-50.910248313
606985.148272,4059747.42883,-48.4114458632
607281.368921,4059649.18633,-46.4931078116
607585.148272,4059618.57011,-45.1606868976
607928.54319,4059611.74409,-43.7069301762
608185.148272,4059493.65509,-41.5202158172
608236.504583,4059489.59956,-41.3636519544
608420.61784,4059510.51218,-40.5639696552
608437.588922,4059508.25764,-40.4347456953
608485.148272,4059492.75211,-40.1655210403
608552.301993,4059461.37645,-39.7187789994
608785.148272,4059463.99634,-38.9522715402
609013.314083,4059465.09134,-38.748681392
609085.148272,4059451.45701,-38.2644836411
